code,name,goup,english_name,english_group
am4,Ammonium quaternaire ; myorelaxant,Médicaments,Quaternary ammonium; muscle relaxant,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c2,Penicilline V,Médicaments,Penicillin V,Drugs
c2,Pénicilline V,Médicaments,Penicillin V,Drugs
c2,Pénicilline V,Médicaments,Penicillin V,Drugs
c201,"Céphalosporines-mélange (Céfaclor, Céfaxine, Céfotaxime, Céfuroxime)",Médicaments,"Cephalosporins-mixture (Cefaclor, Cefaxin, Cefotaxime, Cefuroxime)",Drugs
c202,Suxamethonium,Médicaments,Suxamethonium,Drugs
c206,ACTH,Médicaments,ACTH,Drugs
c207,Protamine,Médicaments,Protamine,Drugs
c208,Tétanus toxoïd,Médicaments,Toxoid tetanus,Drugs
c209,Chymopapaine,Médicaments,Chymopapain,Drugs
c212,Erythromycine,Médicaments,Erythromycin,Drugs
c213,Gentamicine,Médicaments,Gentamicin,Drugs
c216,Doxycycline,Médicaments,Doxycycline,Drugs
c217,Acide acétylsalicylique,Médicaments,Acetylsalicylic acid,Drugs
c222,Mélange de macrolides,Médicaments,Macrolide mixture,Drugs
c223,Sulfaméthoxazol,Médicaments,Sulfamethoxazol,Drugs
c231,Articaïne,Médicaments,Articaine,Drugs
c232,Lidocaïne ; Xylocaïne®,Médicaments,Lidocaine; Xylocaine®,Drugs
c242,Triméthoprime,Médicaments,Trimethoprim,Drugs
c251,Allopurinol ; Zyloric®,Médicaments,Allopurinol; Zyloric®,Drugs
c253,Tétracaïne,Médicaments,Tetracaine,Drugs
c281,Diclofénac®,Médicaments,Diclofenac®,Drugs
c284,Procaïne,Médicaments,Procaine,Drugs
c285,Bupivacaïne ; Marcaïne®,Médicaments,Bupivacaine; Marcaine®,Drugs
c286,Ibuprofène,Médicaments,Ibuprofen,Drugs
c300,Codeïne,Médicaments,Codeine,Drugs
c301,Rifampicine,Médicaments,Rifampicin,Drugs
c304,Piroxicam,Médicaments,Piroxicam,Drugs
c305,Acide clavulanique,Médicaments,Clavulanic acid,Drugs
c308,Céfuroxime ; Zinnat,Médicaments,Cefuroxime; Zinnat,Drugs
c330,Chlorure de benzalconium,Médicaments,Benzalkonium chloride,Drugs
c338,Carbamazépine,Médicaments,Carbamazepine,Drugs
c388,Kétoprofène,Médicaments,Ketoprofen,Drugs
c398,Métronidazole,Médicaments,Metronidazole,Drugs
c409,Ofloxacine ; Oflocet®,Médicaments,Ofloxacin; Oflocet®,Drugs
c436,Spiramycine,Médicaments,Spiramycin,Drugs
c5,Ampicilline,Médicaments,Ampicillin,Drugs
c6,Amoxicilline,Médicaments,Amoxicillin,Drugs
c6,Amoxicilline,Médicaments,Amoxicillin,Drugs
c7,Céfaclor,Médicaments,Cefaclor,Drugs
c70,Insuline porcine,Médicaments,Porcine insulin,Drugs
c702,Acide ascorbique,Médicaments,Ascorbic acid,Drugs
c703,Acide benzoïque,Médicaments,Benzoic acid,Drugs
c704,Quinoleine (E104),Médicaments,Quinoline (E104),Drugs
c706,Colorant(jaune,Médicaments,Coloring (yellow,Drugs
c707,Cyclamate de sodium,Médicaments,Sodium cyclamate,Drugs
c71,Insuline bovine,Médicaments,Bovine insulin,Drugs
c711,Nitrite de sodium,Médicaments,Sodium nitrite,Drugs
c712,Sulfite de sodium,Médicaments,Sodium Sulphite,Drugs
c713,Parabène,Médicaments,Paraben,Drugs
c715,Saccharose,Médicaments,Sucrose,Drugs
c717,Tartrazine,Médicaments,Tartrazine,Drugs
c719,Vitamine B1,Médicaments,Vitamin B1,Drugs
c720,Vitamine B6,Médicaments,Vitamin B6,Drugs
c725,Amaranthe,Médicaments,Amaranth,Drugs
c73,Insuline humaine,Médicaments,Human insulin,Drugs
c74,Gélatine,Médicaments,Gelatin,Drugs
c8,Chlorexidine,Médicaments,Chlorexidine,Drugs
dip,Propofol (Diprivan®),Médicaments,Propofol (Diprivan®),Drugs
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d2,DermatophagoÏdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d2,Dermatophagoïdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d2,Dermatophagoïdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d201,Blomia tropicalis,"Acariens, poussières",Blomia tropicalis,"Mites, dust"
d201,Blomia tropicalis,"Acariens, poussières",Blomia tropicalis,"Mites, dust"
d3,Dermatophagoides microceras,"Acariens, poussières",Dermatophagoides microceras,"Mites, dust"
d3,Dermatophagoides microceras,"Acariens, poussières",Dermatophagoides microceras,"Mites, dust"
d500,Argas reflexus,"Acariens, poussières",Argas reflexus,"Mites, dust"
d70,Acarus siro,"Acariens, poussières",Acarus siro,"Mites, dust"
d71,Lepidoglyphus destructor,"Acariens, poussières",Lepidoglyphus destroyer,"Mites, dust"
d71,Lepidoglyphus destructor,"Acariens, poussières",Lepidoglyphus destroyer,"Mites, dust"
d71,Lepidoglyphus destructor,"Acariens, poussières",Lepidoglyphus destroyer,"Mites, dust"
d72,Thyrophagus putreus,"Acariens, poussières",Thyrophagus putreus,"Mites, dust"
d72,Tyrophagus putreus,"Acariens, poussières",Tyrophagus putreus,"Mites, dust"
d72,Tyrophagus putreus,"Acariens, poussières",Tyrophagus putreus,"Mites, dust"
d73,Glycyphagus domesticus,"Acariens, poussières",Glycyphagus domesticus,"Mites, dust"
d73s,Glycyphagus domesticus,"Acariens, poussières",Glycyphagus domesticus,"Mites, dust"
d74,Euroglyphus maynei,"Acariens, poussières",Euroglyphus maynei,"Mites, dust"
d74,Euroglyphus maynei,"Acariens, poussières",Euroglyphus maynei,"Mites, dust"
d74,Euroglyphyus maynei,"Acariens, poussières",Euroglyphyus maynei,"Mites, dust"
ex1,"Phanères ; e1, e5, e3, e4",Animaux,"Appanders; e1, e5, e3, e4",Animals
ex2,"Animaux ; e1, e5, e6, e87, e88",Animaux,"Animals ; e1, e5, e6, e87, e88",Animals
ex70,"Animaux ; e6, e82, e84, e87, e88",Animaux,"Animals ; e6, e82, e84, e87, e88",Animals
ex71,"Mélange de plumes ; e70, e85, e86, e89",Animaux,"Mixed feathers; e70, e85, e86, e89",Animals
ex72,"Mélange de plumes ; e78, e201, Parakeet, e213, e214",Animaux,"Mixed feathers; e78, e201, Parakeet, e213, e214",Animals
ex73,"Mélange de plumes ; e70, e85, e86, e213",Animaux,"Mixed feathers; e70, e85, e86, e213",Animals
e1,Chat ; epithelium,Animaux,Cat ; epithelium,Animals
e1,Chat ; epithelium,Animaux,Cat ; epithelium,Animals
e1,Chat,Animaux,Cat,Animals
e101,rCan f1 Chien ; recombinant,Animaux,rCan f1 Dog; recombinant,Animals
e102,rCan f2 Chien ; reconbinant,Animaux,rCan f2 Dog; reconbining,Animals
e196,Perruche callopsitte ; plumes,Animaux,Callopsitte parakeet; feathers,Animals
E197,Perruche callopsitte ; déjections,Animaux,Callopsitte parakeet; droppings,Animals
E198,Perruche callopsitte ; protéines,Animaux,Callopsitte parakeet; proteins,Animals
e199,Canari ; protéines sériques,Animaux,Canary; serum proteins,Animals
e2,Chien (Epithelium),Animaux,Dog (Epithelium),Animals
e2,Chien ; epithelium,Animaux,Dog ; epithelium,Animals
e2,Chien ; epithelium,Animaux,Dog ; epithelium,Animals
e200,Canari ; déjections,Animaux,Canary; droppings,Animals
e201,Canari ; plumes,Animaux,Canary; feathers,Animals
e202,Renne ; epithelium,Animaux,Reindeer; epithelium,Animals
e203,Vison ; epithelium,Animaux,Mink; epithelium,Animals
e204,Sérum albumine bovine,Animaux,Bovine serum albumin,Animals
e204,Sérum albumine bovine,Animaux,Bovine serum albumin,Animals
e205,Cheval ; protéines du serum,Animaux,Horse ; serum proteins,Animals
e206,Lapin ; protéines du serum,Animaux,Rabbit ; serum proteins,Animals
e208,Chinchilla,Animaux,Chinchilla,Animals
e209,Gerbille,Animaux,Gerbil,Animals
e210,Renard,Animaux,Fox,Animals
e211,Lapin ; protéines urinaires,Animaux,Rabbit ; urine proteins,Animals
e212,Cochon ; protéines urinaires,Animaux,Pig ; urine proteins,Animals
e213,Perroquet ; plumes,Animaux,Parrot ; feathers,Animals
e214,Pinson ; plumes,Animaux,Pinson; feathers,Animals
e215,PIgE,Animaux,PIgE,Animals
e216,Cerf ; epithelium,Animaux,Deer ; epithelium,Animals
e217,Furet ; epithelium,Animaux,Ferret; epithelium,Animals
e218,Poulet ; fientes,Animaux,Chicken ; droppings,Animals
e219,Poulet ; protéines du serum,Animaux,Chicken ; serum proteins,Animals
e220,Chat ; albumine sérique,Animaux,Cat ; serum albumin,Animals
e221,Chien ; albumine sérique,Animaux,Dog ; serum albumin,Animals
e222,Porc ; albumine sérique,Animaux,Pork ; serum albumin,Animals
e3,Cheval ; squames,Animaux,Horse ; dander,Animals
e3,Cheval ; squames,Animaux,Horse ; dander,Animals
e3,Cheval (Poils et squames),Animaux,Horse (Hair and dander),Animals
e4,Vache ; squames,Animaux,Cow ; dander,Animals
e5,Chien,Animaux,Dog,Animals
e5,Chien,Animaux,Dog,Animals
e5,Chien ; squames,Animaux,Dog ; dander,Animals
e6,Cobaye ; epithelium,Animaux,Guinea pig; epithelium,Animals
e7,PIgE,Animaux,PIgE,Animals
e70,Plumes d&rsquo;oie,Animaux,Goose feathers,Animals
e70,Oie ; plumes,Animaux,Goose ; feathers,Animals
e71,Souris ; epithelium,Animaux,Mouse ; epithelium,Animals
e72,Souris ; protéines urinaires,Animaux,Mouse ; urine proteins,Animals
e73,Rat ; epithelium,Animaux,Rat ; epithelium,Animals
e74,Rat ; protéines urinaires,Animaux,Rat ; urine proteins,Animals
e75,Rat ; protéines du sérum,Animaux,Rat ; serum proteins,Animals
e76,Souris ; protéines du serum,Animaux,Mouse ; serum proteins,Animals
e77,Perruche ; déjections,Animaux,Parakeet; droppings,Animals
e78,Perruche ; plumes,Animaux,Parakeet; feathers,Animals
e79,Perruche ; protéines du serum,Animaux,Parakeet; serum proteins,Animals
e80,Chèvre(épithélia),Animaux,Goat(epithelia),Animals
e80,Chèvre ; epithelium,Animaux,Goat ; epithelium,Animals
e81,Mouton ; epithelium,Animaux,Sheep ; epithelium,Animals
e82,Lapin ; epithelium,Animaux,Rabbit ; epithelium,Animals
e83,Porc ; epithelium,Animaux,Pork ; epithelium,Animals
e84,Hamster ; epithelium,Animaux,Hamster; epithelium,Animals
e84,Hamster (squames),Animaux,Hamster (dander),Animals
e85,Poulet ; plumes,Animaux,Chicken ; feathers,Animals
e86,Canard ; plumes,Animaux,Duck ; feathers,Animals
e87,Rat ; epithelium + protéines,Animaux,Rat ; epithelium + proteins,Animals
e88,Souris ; epithelium + protéines,Animaux,Mouse ; epithelium + proteins,Animals
e89,Dinde ; plumes,Animaux,Turkey ; feathers,Animals
e94,rFel d 1 Felis domesticus ; recombinant,Animaux,rFel d 1 Felis domesticus; recombinant,Animals
fx1,"Noix ; f13, f17, f18, f20, f36",Mélanges d’aliments,"Nut ; f13, f17, f18, f20, f36",Food Mixtures
fx10,"Viandes ; f27, f26, f75, f83, f284",Mélanges d’aliments,"Meats; f27, f26, f75, f83, f284",Food Mixtures
fx11,"Légumes ; f8, f12, f15, f31, f206",Mélanges d’aliments,"Vegetables ; f8, f12, f15, f31, f206",Food Mixtures
fx13,"Légumes ; f12, f15, f31, f35",Mélanges d’aliments,"Vegetables ; f12, f15, f31, f35",Food Mixtures
fx14,Mélange légumes,Mélanges d’aliments,Vegetable mix,Food Mixtures
fx15,"Fruits ; f33, f49, f92, f95",Mélanges d’aliments,"Fruits; f33, f49, f92, f95",Food Mixtures
fx16,"Fruits ; f44, f94, f208, f210",Mélanges d’aliments,"Fruits; f44, f94, f208, f210",Food Mixtures
fx17,"Fruits ; f49, f92, f94, f95",Mélanges d’aliments,"Fruits; f49, f92, f94, f95",Food Mixtures
fx18,"Aliments ; f12, f13, f14",Mélanges d’aliments,"Food; f12, f13, f14",Food Mixtures
fx19,"Légumes ; f31, f35, f214, f244",Mélanges d’aliments,"Vegetables ; f31, f35, f214, f244",Food Mixtures
fx2,"Produits de la mer ; f3, f24, f40, f41, f37",Mélanges d’aliments,"Seafood products; f3, f24, f40, f41, f37",Food Mixtures
fx20,"Céréales ; f4, f5, f6, f9",Mélanges d’aliments,"Cereals; f4, f5, f6, f9",Food Mixtures
fx21,"Fruits ; f84, f87, f92, f95, f210",Mélanges d’aliments,"Fruits; f84, f87, f92, f95, f210",Food Mixtures
fx22,"Noix de pécan,noix de cajou,pistache,noix",Mélanges d’aliments,"Pecans, cashews, pistachio, walnuts",Food Mixtures
fx22,"Fruits secs ; f201, f202, f203, f256",Mélanges d’aliments,"Dried fruits; f201, f202, f203, f256",Food Mixtures
fx23,"Trophatop 3 ; f26, f27, f83, f284",Mélanges d’aliments,"Trophatop 3; f26, f27, f83, f284",Food Mixtures
fx24,"Trophatop 2 ; f17, F24, F84, F92",Mélanges d’aliments,"Trophatop 2; f17, F24, F84, F92",Food Mixtures
fx25,"Trophatop 4 ; f10, f45, f47, f85",Mélanges d’aliments,"Trophatop 4; f10, f45, f47, f85",Food Mixtures
fx26,"Trophatop (Blanc d&rsquo;oeuf,lait,arachide,moutarde)",Mélanges d’aliments,"Trophatop (Egg white, milk, peanut, mustard)",Food Mixtures
fx27,"Trophatop (Poisson,noisette,soja,blé)",Mélanges d’aliments,"Trophatop (Fish, hazelnut, soy, wheat)",Food Mixtures
fx28,"Trophatop (Crevette,kiwi,boeuf,sésame)",Mélanges d’aliments,"Trophatop (Shrimp, kiwi, beef, sesame)",Food Mixtures
fx29,"Mélange Orange, Citron, Mandarine, Pamplemousse",Mélanges d’aliments,"Orange, Lemon, Mandarin, Grapefruit Mixture",Food Mixtures
fx3,"Farines ; f4, f7, f8, f10, f11",Mélanges d’aliments,"Flours; f4, f7, f8, f10, f11",Food Mixtures
fx30,"Fruits (Kiwi, Mangue, Banane, Avocat, Papaye)",Mélanges d’aliments,"Fruits (Kiwi, Mango, Banana, Avocado, Papaya)",Food Mixtures
fx31,"Fruits (Pomme, Poire, Pêche, Cerise, Prune)",Mélanges d’aliments,"Fruits (Apple, Pear, Peach, Cherry, Plum)",Food Mixtures
fx32,"Légumes (Lentille, Pois, Haricot blanc, Caroube)",Mélanges d’aliments,"Vegetables (Lentils, Peas, White Beans, Carob)",Food Mixtures
fx7,"Légumes ; f25, f48, f47, f45, f85",Mélanges d’aliments,"Vegetables ; f25, f48, f47, f45, f85",Food Mixtures
fx70,"Aromates ; f272, f274, f273, f275",Mélanges d’aliments,"Herbs; f272, f274, f273, f275",Food Mixtures
fx71,"Aromates ; f265, f266, f267, f268",Mélanges d’aliments,"Herbs; f265, f266, f267, f268",Food Mixtures
fx72,"Aromates ; f269, f219, f270, f271",Mélanges d’aliments,"Herbs; f269, f219, f270, f271",Food Mixtures
fx73,"Viandes ; f26, f27, f83",Mélanges d’aliments,"Meats; f26, f27, f83",Food Mixtures
fx74,"Poissons ; f206, f205, f3, f254",Mélanges d’aliments,"Fish; f206, f205, f3, f254",Food Mixtures
fx8,"Fruits ; f49, f17, f18, f33, f93",Mélanges d’aliments,"Fruits; f49, f17, f18, f33, f93",Food Mixtures
fx9,"Fruits exotiques ; f84, f87, f92, f259, f20",Mélanges d’aliments,"Exotic fruits; f84, f87, f92, f259, f20",Food Mixtures
f1,Blanc d&rsquo;oeuf,Aliments d’origine animale,Egg white,Foods of animal origin
f1,Blanc d&rsquo;oeuf,Aliments d’origine animale,Egg white,Foods of animal origin
f1,Oeuf ; blanc,Aliments d’origine animale,Egg ; white,Foods of animal origin
f10,Sésame ; graine ; aliment,Aliments d’origine végétale,Sesame; seed ; food,Plant-based foods
f11,Sarrasin ; graine ; aliment,Aliments d’origine végétale,Buckwheat; seed ; food,Plant-based foods
f118,Courgette,Aliments d’origine végétale,Zucchini,Plant-based foods
f119,Radis,Aliments d’origine végétale,Radish,Plant-based foods
f12,Pois ; graine,Aliments d’origine végétale,Peas; seed,Plant-based foods
f12,Pois,Aliments d’origine végétale,Peas,Plant-based foods
f13,Arachide,Aliments d’origine végétale,Peanut,Plant-based foods
f13,Arachide,Aliments d’origine végétale,Peanut,Plant-based foods
f13,Arachide,Aliments d’origine végétale,Peanut,Plant-based foods
f14,Soja,Aliments d’origine végétale,Soy,Plant-based foods
f14,Soja,Aliments d’origine végétale,Soy,Plant-based foods
f14,Soja,Aliments d’origine végétale,Soy,Plant-based foods
f15,Haricot blanc,Aliments d’origine végétale,White bean,Plant-based foods
f17,Noisette,Aliments d’origine végétale,Hazelnut,Plant-based foods
f17,Noisette,Aliments d’origine végétale,Hazelnut,Plant-based foods
f178,Rhubarbe,Aliments d’origine végétale,Rhubarb,Plant-based foods
f18,Noix du Brésil,Aliments d’origine végétale,Brazil nuts,Plant-based foods
f182,Haricot de Lima,Aliments d’origine végétale,Lima bean,Plant-based foods
f2,Lait de vache,Aliments d’origine animale,Cow's milk,Foods of animal origin
f2,Lait de vache,Aliments d’origine végétale,Cow's milk,Plant-based foods
f20,Amande,Aliments d’origine végétale,Almond,Plant-based foods
f20,Amande,Aliments d’origine végétale,Almond,Plant-based foods
f201,Noix de pécan,Aliments d’origine végétale,Pecans,Plant-based foods
f202,Noix de cajou,Aliments d’origine végétale,Cashew nuts,Plant-based foods
f203,Pistache,Aliments d’origine végétale,Pistachio,Plant-based foods
f204,Truite,Aliments d’origine animale,Trout,Foods of animal origin
f205,Hareng,Aliments d’origine animale,Herring,Foods of animal origin
f206,Maquereau,Aliments d’origine animale,Mackerel,Foods of animal origin
f207,Palourde,Aliments d’origine animale,Clam,Foods of animal origin
f208,Citron,Aliments d’origine végétale,Lemon,Plant-based foods
f208,Citron,Aliments d’origine végétale,Lemon,Plant-based foods
f209,Pamplemousse,Aliments d’origine végétale,Grapefruit,Plant-based foods
f210,Ananas,Aliments d’origine végétale,Pineapple,Plant-based foods
f210,Ananas,Aliments d’origine végétale,Pineapple,Plant-based foods
f211,Mûre,Aliments d’origine végétale,Blackberry,Plant-based foods
f212,Champignon,Aliments d’origine végétale,Mushroom,Plant-based foods
f213,Lapin ; viande,Aliments d’origine animale,Rabbit ; meat,Foods of animal origin
f214,Epinard,Aliments d’origine végétale,Spinach,Plant-based foods
f215,Laitue,Aliments d’origine végétale,Lettuce,Plant-based foods
f216,Chou,Aliments d’origine végétale,Cabbage,Plant-based foods
f217,Chou de Bruxelles,Aliments d’origine végétale,Brussels sprouts,Plant-based foods
f218,Paprika,Aliments d’origine végétale,Paprika,Plant-based foods
f219,Fenouil ; graine,Aliments d’origine végétale,Fennel; seed,Plant-based foods
f22,Framboise,Aliments d’origine végétale,Raspberry,Plant-based foods
f220,Cannelle,Aliments d’origine végétale,Cinnamon,Plant-based foods
f221,Café,Aliments d’origine végétale,Coffee,Plant-based foods
f221,Café,Aliments d’origine végétale,Coffee,Plant-based foods
f222,Thé,Aliments d’origine végétale,Tea,Plant-based foods
f222,Thé,Aliments d’origine végétale,Tea,Plant-based foods
f224,Pavot ; graine ; aliment,Aliments d’origine végétale,Poppy; seed ; food,Plant-based foods
f225,Potiron Citrouille,Aliments d’origine végétale,Pumpkin Pumpkin,Plant-based foods
f226,Citrouille ; graine ; aliment,Aliments d’origine végétale,Pumpkin ; seed ; food,Plant-based foods
f227,Bettrave à sucre,Aliments d’origine végétale,Sugar beet,Plant-based foods
f227,Bettrave à sucre,Aliments d’origine végétale,Sugar beet,Plant-based foods
f227,Bettrave à sucre ; graine ; aliment,Aliments d’origine végétale,Sugar beet; seed ; food,Plant-based foods
f23,Crabe,Aliments d’origine animale,Crab,Foods of animal origin
f231,Lait bouilli,Aliments d’origine animale,Boiled milk,Foods of animal origin
f232,Ovalbumine,Aliments d’origine animale,Ovalbumin,Foods of animal origin
f232,Ovalbumine,Aliments d’origine animale,Ovalbumin,Foods of animal origin
f232,Ovalbumine,Aliments d’origine animale,Ovalbumin,Foods of animal origin
f233,Ovomucoïde,Aliments d’origine animale,Ovomucoid,Foods of animal origin
f234,Vanille,Aliments d’origine végétale,Vanilla,Plant-based foods
f235,Lentille,Aliments d’origine végétale,Lens,Plant-based foods
f235,Lentilles,Aliments d’origine végétale,Lenses,Plant-based foods
f236,Petit lait,Aliments d’origine animale,Whey,Foods of animal origin
f237,Abricot,Aliments d’origine végétale,Apricot,Plant-based foods
f24,Crevette,Aliments d’origine animale,Shrimp,Foods of animal origin
f24,Crevette,Aliments d’origine animale,Shrimp,Foods of animal origin
f242,Cerise,Aliments d’origine végétale,Cherry,Plant-based foods
f244,Concombre,Aliments d’origine végétale,Cucumber,Plant-based foods
f245,Oeuf entier,Aliments d’origine animale,Whole egg,Foods of animal origin
f245,Oeuf,Aliments d’origine animale,Egg,Foods of animal origin
f245,Oeuf,Aliments d’origine animale,Egg,Foods of animal origin
f246,Gomme de guar ; Agar,Aliments d’origine végétale,Guar gum; Agar,Plant-based foods
f247,Miel,Aliments d’origine animale,Honey,Foods of animal origin
f248,Romarin,Aliments d’origine végétale,Rosemary,Plant-based foods
f25,Tomate,Aliments d’origine végétale,Tomato,Plant-based foods
f25,Tomate,Aliments d’origine végétale,Tomato,Plant-based foods
f253,Pignon de pin,Aliments d’origine végétale,Pine nut,Plant-based foods
f254,Limande ; carrelet,Aliments d’origine animale,Dab; plaice,Foods of animal origin
f255,Prune,Aliments d’origine végétale,Plum,Plant-based foods
f256,Noix,Aliments d’origine végétale,Nut,Plant-based foods
f258,Calamar,Aliments d’origine animale,Squid,Foods of animal origin
f259,Raisin,Aliments d’origine végétale,Grapes,Plant-based foods
f26,Porc,Aliments d’origine animale,Pork,Foods of animal origin
f26,Porc,Aliments d’origine animale,Pork,Foods of animal origin
f26,Porc,Aliments d’origine animale,Pork,Foods of animal origin
f260,Brocolis,Aliments d’origine végétale,Broccoli,Plant-based foods
f261,Asperge,Aliments d’origine végétale,Asparagus,Plant-based foods
f262,Aubergine,Aliments d’origine végétale,Eggplant,Plant-based foods
f263,Poivre vert,Aliments d’origine végétale,Green pepper,Plant-based foods
f264,Anguille,Aliments d’origine animale,Eel,Foods of animal origin
f265,Cumin,Aliments d’origine végétale,Cumin,Plant-based foods
f266,Muscade ; fleur ; aliment,Aliments d’origine végétale,Nutmeg; flower ; food,Plant-based foods
f267,Cardamome,Aliments d’origine végétale,Cardamom,Plant-based foods
f268,Clou de girofle,Aliments d’origine végétale,Clove,Plant-based foods
f269,Basilic,Aliments d’origine végétale,Basil,Plant-based foods
f27,Boeuf,Aliments d’origine animale,Beef,Foods of animal origin
f27,Boeuf,Aliments d’origine animale,Beef,Foods of animal origin
f27,Boeuf,Aliments d’origine animale,Beef,Foods of animal origin
f270,Gingembre,Aliments d’origine végétale,Ginger,Plant-based foods
f271,Anis,Aliments d’origine végétale,Anise,Plant-based foods
f272,Estragon,Aliments d’origine végétale,Tarragon,Plant-based foods
f273,Thym,Aliments d’origine végétale,Thyme,Plant-based foods
f274,Marjolaine,Aliments d’origine végétale,Marjoram,Plant-based foods
f275,Livèche,Aliments d’origine végétale,Lovage,Plant-based foods
f276,Fenouil,Aliments d’origine végétale,Fennel,Plant-based foods
f277,Aneth,Aliments d’origine végétale,Dill,Plant-based foods
f278,Feuille de laurier,Aliments d’origine végétale,Bay leaf,Plant-based foods
f279,Piment,Aliments d’origine végétale,Pepper,Plant-based foods
f280,Poivre noir,Aliments d’origine végétale,Black pepper,Plant-based foods
f280,Poivre noir,Aliments d’origine végétale,Black pepper,Plant-based foods
f281,Curry,Aliments d’origine végétale,Curry,Plant-based foods
f282,Noix de muscade,Aliments d’origine végétale,Nutmeg,Plant-based foods
f283,Origan,Aliments d’origine végétale,Oregano,Plant-based foods
f284,Dinde ; viande,Aliments d’origine animale,Turkey ; meat,Foods of animal origin
f285,Elan ; viande,Aliments d’origine animale,Elk; meat,Foods of animal origin
f286,Lait de jument,Aliments d’origine animale,mare's milk,Foods of animal origin
f287,Haricot rouge,Aliments d’origine végétale,Red bean,Plant-based foods
f288,Airelle,Aliments d’origine végétale,Airelle,Plant-based foods
f289,Datte,Aliments d’origine végétale,Date,Plant-based foods
f290,Huître,Aliments d’origine animale,Oyster,Foods of animal origin
f291,Chou fleur,Aliments d’origine végétale,Cauliflower,Plant-based foods
f292,Goyave,Aliments d’origine végétale,Guava,Plant-based foods
f293,Papaye,Aliments d’origine végétale,Papaya,Plant-based foods
f294,Fruit de la passion,Aliments d’origine végétale,Passion fruit,Plant-based foods
f295,Carrambole,Aliments d’origine végétale,Carrambola,Plant-based foods
